symbol,date,open,high,low,close,volume,price_change_percent
IBM,2026-05-15,218.2,220.91,217.615,219.3,5536739,0.5041246562786539
IBM,2026-05-14,215.545,220.96,215.0,218.37,5906199,1.3106311907026456
IBM,2026-05-13,218.27,218.31,212.34,214.64,8361214,-1.6630778393732641
IBM,2026-05-12,224.43,224.43,219.22,219.22,6045225,-2.321436528093396
IBM,2026-05-11,228.66,230.23,222.55,223.55,6677186,-2.234759030875529
IBM,2026-05-08,229.73,230.705,224.83,229.76,5332800,0.013058808166108535
IBM,2026-05-07,227.5,231.82,227.41,231.31,5485545,1.6747252747252757
IBM,2026-05-06,228.75,229.0,224.38,225.74,7673185,-1.3158469945355151
IBM,2026-05-05,230.16,231.0,227.15,229.03,4221889,-0.49096280848105467
IBM,2026-05-04,232.0,234.09,228.615,229.48,4003082,-1.0862068965517284
IBM,2026-05-01,234.55,235.95,231.75,232.2,3582091,-1.0019185674696323
IBM,2026-04-30,226.53,231.6,224.9,230.98,6283334,1.9644197236569059
IBM,2026-04-29,230.34,231.48,226.82,227.1,6443724,-1.4066163063297772
IBM,2026-04-28,230.5,233.555,228.46,233.04,5162895,1.1019522776572632
IBM,2026-04-27,229.95,231.32,227.12,228.05,8060665,-0.8262665796912273
IBM,2026-04-24,231.93,232.7999,225.0,231.98,9816859,0.021558228775916417
IBM,2026-04-23,232.27,232.91,221.73,231.08,22297831,-0.5123347827958831
IBM,2026-04-22,254.51,257.54,247.21,251.86,12190197,-1.0412164551491012
IBM,2026-04-21,254.0,258.09,251.865,255.68,5584901,0.6614173228346484
IBM,2026-04-20,255.0,258.5,252.56,253.71,5157714,-0.5058823529411733
IBM,2026-04-17,254.67,255.65,251.04,253.47,5671471,-0.4711980209683075
IBM,2026-04-16,248.75,251.22,246.125,251.0,4817500,0.9045226130653266
IBM,2026-04-15,242.25,246.06,240.985,244.8,3879518,1.052631578947373
IBM,2026-04-14,238.75,241.5375,238.12,240.27,3777272,0.6366492146596902
IBM,2026-04-13,233.63,238.07,231.7,237.82,5349619,1.7934340624063683
IBM,2026-04-10,239.19,239.2674,230.51,230.76,5869361,-3.5243948325598926
IBM,2026-04-09,240.88,241.74,233.76,237.18,5078595,-1.5360345400199222
IBM,2026-04-08,248.63,250.0,240.8,241.74,4771476,-2.771186099827047
IBM,2026-04-07,245.32,245.76,241.1,245.07,2356072,-0.1019077123756726
IBM,2026-04-06,248.14,248.8999,244.74,246.74,3376019,-0.5641976303699433
IBM,2026-04-02,243.0,248.2103,241.485,248.16,3350858,2.1234567901234556
IBM,2026-04-01,242.12,246.2618,240.14,243.14,4228653,0.4212787047744844
IBM,2026-03-31,240.27,242.85,236.38,242.39,4750293,0.8823407000457719
IBM,2026-03-30,237.8,240.21,236.131,237.25,3882602,-0.23128679562658172
IBM,2026-03-27,238.85,239.44,233.75,236.34,4853707,-1.0508687460749386
IBM,2026-03-26,240.56,246.6742,239.8,241.67,3606840,0.46142334552709724
IBM,2026-03-25,243.6,246.19,238.0,241.39,4207946,-0.9072249589491002
IBM,2026-03-24,246.445,247.11,238.0,240.59,4151491,-2.375783643409276
IBM,2026-03-23,246.5,251.35,244.7101,248.44,4972008,0.7870182555780925
IBM,2026-03-20,249.0,250.28,241.77,241.77,11314093,-2.9036144578313214
IBM,2026-03-19,249.43,252.19,248.25,250.37,4249458,0.37685923906506746
IBM,2026-03-18,254.16,258.28,250.16,251.6,5177047,-1.0072395341517164
IBM,2026-03-17,250.51,256.39,250.0,256.11,5840139,2.2354397030058775
IBM,2026-03-16,247.87,252.2,246.1,249.25,5674228,0.5567434542300381
IBM,2026-03-13,247.67,249.72,244.71,246.28,4338431,-0.5612306698429307
IBM,2026-03-12,247.1,250.045,245.64,247.68,5547724,0.23472278429786017
IBM,2026-03-11,250.005,253.715,247.2,248.87,4012239,-0.45399092018159276
IBM,2026-03-10,253.26,253.44,246.55,250.2,4937960,-1.2082444918265824
IBM,2026-03-09,255.38,258.08,251.571,253.33,6126567,-0.8027253504581342
IBM,2026-03-06,256.44,259.3999,252.21,258.85,6234402,0.9397909842458372
IBM,2026-03-05,249.32,260.38,249.0,256.55,9899962,2.8998876945291263
IBM,2026-03-04,245.745,250.85,244.955,250.06,6084995,1.7558851655171002
IBM,2026-03-03,236.35,246.09,234.29,245.28,6960369,3.7782949016289433
IBM,2026-03-02,235.7,240.78,233.78,239.37,6220287,1.5570640644887637
IBM,2026-02-27,238.07,240.21,234.565,240.21,6642222,0.8988952828999937
IBM,2026-02-26,239.71,247.4899,238.95,242.01,7343055,0.9594927203704405
IBM,2026-02-25,233.22,239.55,231.22,237.54,8569713,1.852328273732953
IBM,2026-02-24,227.8,236.5937,223.63,229.32,13379817,0.6672519754170244
IBM,2026-02-23,254.37,255.19,220.72,223.35,19522881,-12.194834296497232
IBM,2026-02-20,255.195,259.04,253.8,257.16,4708550,0.7699994122142017
IBM,2026-02-19,256.0,258.28,253.511,256.28,4948700,0.10937499999998934
IBM,2026-02-18,258.64,261.11,256.25,260.79,3949229,0.8312712650788874
IBM,2026-02-17,259.2,260.7,254.65,258.31,4929733,-0.34336419753085895
IBM,2026-02-13,260.0,264.66,256.64,262.38,6842620,0.9153846153846136
IBM,2026-02-12,270.3,271.3,257.22,259.52,12565380,-3.9881613022567626
IBM,2026-02-11,292.34,293.5,272.3601,272.81,7628244,-6.680577409865217
IBM,2026-02-10,294.99,297.61,290.33,291.76,3837343,-1.0949523712668288
IBM,2026-02-09,295.91,297.72,291.42,296.34,4627815,0.14531445371901927
IBM,2026-02-06,292.5,299.89,290.657,298.93,3744313,2.1982905982906007
IBM,2026-02-05,286.1,291.81,285.1,289.89,5532797,1.3247116392869498
IBM,2026-02-04,291.41,291.41,278.96,289.05,8708033,-0.8098555300092699
IBM,2026-02-03,312.4,312.975,283.85,294.31,11296020,-5.7906530089628605
IBM,2026-02-02,307.51,316.64,306.41,314.73,4581189,2.347891125491863
IBM,2026-01-30,307.6,307.783,299.73,306.7,5940669,-0.29258777633291094
IBM,2026-01-29,317.86,319.9,303.47,309.24,10124929,-2.7118857358585555
IBM,2026-01-28,294.17,295.95,291.2601,294.16,5790347,-0.0033993949077033366
IBM,2026-01-27,297.16,297.33,293.27,293.86,2944722,-1.1105128550275984
IBM,2026-01-26,293.16,296.815,293.14,296.33,3726890,1.0813207804611675
IBM,2026-01-23,294.07,294.335,289.79,292.44,3298424,-0.5542897949467799
IBM,2026-01-22,299.42,300.93,293.53,294.67,3670152,-1.586400374056509
IBM,2026-01-21,292.76,297.67,292.51,297.54,5185023,1.6327367126656749
IBM,2026-01-20,301.35,301.6,290.16,291.35,7211706,-3.318400530944085
IBM,2026-01-16,301.0,307.45,300.78,305.67,6199635,1.551495016611301
IBM,2026-01-15,309.0,311.88,297.04,297.95,4932480,-3.576051779935279
IBM,2026-01-14,303.5,309.19,301.5,309.03,3779045,1.8220757825370586
IBM,2026-01-13,311.6,312.81,301.87,303.16,4507760,-2.7086007702182275
IBM,2026-01-12,302.62,312.33,299.96,312.18,3895197,3.1590773907871266
IBM,2026-01-09,302.61,307.0,302.0,304.22,2718828,0.5320379366180938
IBM,2026-01-08,295.0,303.67,295.0,302.72,3343273,2.6169491525423823
IBM,2026-01-07,302.5,304.31,296.345,296.73,2833274,-1.9074380165289198
IBM,2026-01-06,295.0,303.04,294.42,302.47,4147315,2.5322033898305176
IBM,2026-01-05,295.77,299.19,294.25,294.97,4189960,-0.27048044088310325
IBM,2026-01-02,297.56,297.5699,289.0,291.5,4662804,-2.0365640543083754
IBM,2025-12-31,301.76,301.85,295.87,296.21,3430133,-1.8392099681866423
IBM,2025-12-30,306.15,306.235,302.0,302.05,1883651,-1.339212804180946
IBM,2025-12-29,304.65,310.0,303.75,305.74,4664711,0.3577876251436179
IBM,2025-12-26,304.69,305.75,303.665,305.09,2814732,0.1312809741048204
IBM,2025-12-24,303.76,305.15,302.3,304.56,1210642,0.26336581511720153
IBM,2025-12-23,301.34,305.13,300.65,303.78,2923037,0.8097165991902827
IBM,2025-12-22,301.03,303.18,298.32,302.79,2612100,0.5846593362787921
